lat_idx,latitude,lon_edge_km,time_resolution_lon,lat_edge_km,time_resolution_lat
0,-89.297,1.918143939330393,0.1,156.3400668622509,0.25
1,-87.89099999999999,5.753276984322494,0.1,156.3956643255709,0.25
2,-86.4845,9.586307946469343,0.1,156.3956643255709,0.25
3,-85.078,13.413563286779043,0.1,156.3400668622509,0.25
4,-83.672,17.23138115097362,0.1,156.3956643255709,0.25
5,-82.2655,21.040176582461413,0.1,156.3956643255709,0.25
6,-80.85900000000001,24.836295553530533,0.1,156.3400668622509,0.25
7,-79.453,28.616109682530976,0.1,156.34006686224947,0.25
8,-78.047,32.37869514198804,0.1,156.3400668622509,0.25
9,-76.64099999999999,36.12178658580393,0.1,156.3956643255709,0.25
10,-75.2345,39.84444963646666,0.1,156.3956643255709,0.25
11,-73.828,43.54310664642271,0.1,156.3400668622509,0.25
12,-72.422,47.21422853655739,0.1,156.3956643255709,0.25
13,-71.0155,50.85821430326069,0.1,156.3956643255709,0.25
14,-69.60900000000001,54.471558051171144,0.1,156.3400668622509,0.25
15,-68.203,58.0508158804766,0.1,156.34006686224947,0.25
16,-66.797,61.59512279304232,0.1,156.3400668622509,0.25
17,-65.39099999999999,65.10234472291623,0.1111111111111111,156.3956643255709,0.25
18,-63.9845,68.57159598529978,0.1111111111111111,156.3956643255709,0.25
19,-62.578,71.9995322182499,0.125,156.3400668622509,0.25
20,-61.172,75.38289265310792,0.125,156.3956643255709,0.25
21,-59.7655,78.72204484163265,0.125,156.3956643255723,0.25
22,-58.359,82.01376567801898,0.14285714285714285,156.34006686224876,0.25
23,-56.953,85.25492802814102,0.14285714285714285,156.34006686225018,0.25
24,-55.547,88.44475891627293,0.14285714285714285,156.34006686224876,0.25
25,-54.141000000000005,91.58133752287098,0.14285714285714285,156.39566432557302,0.25
26,-52.7345,94.66386085716681,0.16666666666666666,156.3956643255709,0.25
27,-51.328,97.68934633369027,0.16666666666666666,156.34006686225018,0.25
28,-49.922,100.65492678327713,0.16666666666666666,156.3956643255716,0.25
29,-48.5155,103.56092417827651,0.16666666666666666,156.3956643255716,0.25
30,-47.109,106.40452206066506,0.16666666666666666,156.34006686224947,0.25
31,-45.703,109.18303024294521,0.2,156.34006686225018,0.25
32,-44.297,111.89579749100007,0.2,156.34006686224876,0.25
33,-42.891000000000005,114.54119007046698,0.2,156.39566432557302,0.25
34,-41.4845,117.11851857136219,0.2,156.3956643255709,0.25
35,-40.078,119.62527684489872,0.2,156.34006686225018,0.25
36,-38.672,122.05910155631356,0.2,156.3956643255716,0.25
37,-37.2655,124.42025677316485,0.2,156.3956643255723,0.25
38,-35.858999999999995,126.70644098598876,0.2,156.34006686224876,0.25
39,-34.453,128.91550441114205,0.2,156.34006686225018,0.25
40,-33.047,131.0469426545916,0.2,156.34006686224947,0.25
41,-31.641,133.0994719331996,0.2,156.3956643255716,0.25
42,-30.2345,135.07254299348443,0.25,156.3956643255723,0.25
43,-28.828,136.96422253272564,0.25,156.34006686224947,0.25
44,-27.422,138.77274197782725,0.25,156.3956643255716,0.25
45,-26.015500000000003,140.4982974331194,0.25,156.39566432557197,0.25
46,-24.609,142.13919089689895,0.25,156.34006686224984,0.25
47,-23.203,143.6938957218748,0.25,156.34006686224947,0.25
48,-21.797,145.16207384309828,0.25,156.34006686224984,0.25
49,-20.391,146.54284087825138,0.25,156.3956643255716,0.25
50,-18.9845,147.83580894608824,0.25,156.39566432557197,0.25
51,-17.578,149.03969201002627,0.25,156.34006686224947,0.25
52,-16.172,150.15338434837722,0.25,156.39566432557197,0.25
53,-14.7655,151.1770066671173,0.25,156.39566432557177,0.25
54,-13.359,152.10952984840026,0.25,156.34006686224964,0.25
55,-11.953,152.95010917008287,0.25,156.34006686224947,0.25
56,-10.547,153.69858599134204,0.25,156.34006686224964,0.25
57,-9.141,154.35450942489922,0.25,156.39566432557177,0.25
58,-7.734500000000001,154.91766796570067,0.25,156.39566432557197,0.25
59,-6.327999999999999,155.38747237222603,0.25,156.34006686224947,0.25
60,-4.922000000000001,155.76352236779852,0.25,156.3956643255719,0.25
61,-3.5155000000000003,156.04585869988307,0.25,156.3956643255719,0.25
62,-2.109,156.23416077369876,0.25,156.3400668622496,0.25
63,-0.703,156.32829833746328,0.25,156.34006686224956,0.25
64,0.703,156.32829833746328,0.25,156.3400668622496,0.25
65,2.109,156.23416077369876,0.25,156.3956643255719,0.25
66,3.5155000000000003,156.04585869988307,0.25,156.3956643255719,0.25
67,4.922000000000001,155.76352236779852,0.25,156.34006686224947,0.25
68,6.327999999999999,155.38747237222603,0.25,156.39566432557197,0.25
69,7.734500000000001,154.91766796570067,0.25,156.39566432557177,0.25
70,9.141,154.35450942489922,0.25,156.34006686224964,0.25
71,10.547,153.69858599134204,0.25,156.34006686224947,0.25
72,11.953,152.95010917008287,0.25,156.34006686224964,0.25
73,13.359,152.10952984840026,0.25,156.39566432557177,0.25
74,14.7655,151.1770066671173,0.25,156.39566432557197,0.25
75,16.172,150.15338434837722,0.25,156.34006686224947,0.25
76,17.578,149.03969201002627,0.25,156.39566432557197,0.25
77,18.9845,147.83580894608824,0.25,156.3956643255716,0.25
78,20.391,146.54284087825138,0.25,156.34006686224984,0.25
79,21.797,145.16207384309828,0.25,156.34006686224947,0.25
80,23.203,143.6938957218748,0.25,156.34006686224984,0.25
81,24.609,142.13919089689895,0.25,156.39566432557197,0.25
82,26.015500000000003,140.4982974331194,0.25,156.3956643255716,0.25
83,27.422,138.77274197782725,0.25,156.34006686224947,0.25
84,28.828,136.96422253272564,0.25,156.3956643255723,0.25
85,30.2345,135.07254299348443,0.25,156.3956643255716,0.25
86,31.641,133.0994719331996,0.2,156.34006686224947,0.25
87,33.047,131.0469426545916,0.2,156.34006686225018,0.25
88,34.453,128.91550441114205,0.2,156.34006686224876,0.25
89,35.858999999999995,126.70644098598876,0.2,156.3956643255723,0.25
90,37.2655,124.42025677316485,0.2,156.3956643255716,0.25
91,38.672,122.05910155631356,0.2,156.34006686225018,0.25
92,40.078,119.62527684489872,0.2,156.3956643255709,0.25
93,41.4845,117.11851857136219,0.2,156.39566432557302,0.25
94,42.891000000000005,114.54119007046698,0.2,156.34006686224876,0.25
95,44.297,111.89579749100007,0.2,156.34006686225018,0.25
96,45.703,109.18303024294521,0.2,156.34006686224947,0.25
97,47.109,106.40452206066506,0.16666666666666666,156.3956643255716,0.25
98,48.5155,103.56092417827651,0.16666666666666666,156.3956643255716,0.25
99,49.922,100.65492678327713,0.16666666666666666,156.34006686225018,0.25
100,51.328,97.68934633369027,0.16666666666666666,156.3956643255709,0.25
101,52.7345,94.66386085716681,0.16666666666666666,156.39566432557302,0.25
102,54.141000000000005,91.58133752287098,0.14285714285714285,156.34006686224876,0.25
103,55.547,88.44475891627293,0.14285714285714285,156.34006686225018,0.25
104,56.953,85.25492802814102,0.14285714285714285,156.34006686224876,0.25
105,58.359,82.01376567801898,0.14285714285714285,156.3956643255723,0.25
106,59.7655,78.72204484163265,0.125,156.3956643255709,0.25
107,61.172,75.38289265310792,0.125,156.3400668622509,0.25
108,62.578,71.9995322182499,0.125,156.3956643255709,0.25
109,63.9845,68.57159598529978,0.1111111111111111,156.3956643255709,0.25
110,65.39099999999999,65.10234472291623,0.1111111111111111,156.3400668622509,0.25
111,66.797,61.59512279304232,0.1,156.34006686224947,0.25
112,68.203,58.0508158804766,0.1,156.3400668622509,0.25
113,69.60900000000001,54.471558051171144,0.1,156.3956643255709,0.25
114,71.0155,50.85821430326069,0.1,156.3956643255709,0.25
115,72.422,47.21422853655739,0.1,156.3400668622509,0.25
116,73.828,43.54310664642271,0.1,156.3956643255709,0.25
117,75.2345,39.84444963646666,0.1,156.3956643255709,0.25
118,76.64099999999999,36.12178658580393,0.1,156.3400668622509,0.25
119,78.047,32.37869514198804,0.1,156.34006686224947,0.25
120,79.453,28.616109682530976,0.1,156.3400668622509,0.25
121,80.85900000000001,24.836295553530533,0.1,156.3956643255709,0.25
122,82.2655,21.040176582461413,0.1,156.3956643255709,0.25
123,83.672,17.23138115097362,0.1,156.3400668622509,0.25
124,85.078,13.413563286779043,0.1,156.3956643255709,0.25
125,86.4845,9.586307946469343,0.1,156.3956643255709,0.25
126,87.89099999999999,5.753276984322494,0.1,156.3400668622509,0.25
127,89.297,1.918143939330393,0.1,156.3400668622509,0.25
